annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label
BB+GB*	CL:0000749	ON-bipolar cell	DOI:10.1038/s41598-020-66092-9	8623d55f-d91c-41c2-ae68-ed2072fd268d_cxg_dataset_unique	{'name': 'BB+GB*', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found	
DB1	CL:0000750	OFF-bipolar cell	DOI:10.1038/s41598-020-66092-9	8623d55f-d91c-41c2-ae68-ed2072fd268d_cxg_dataset_unique	{'name': 'DB1', 'full_name': 'bipolar type DB1', 'paper_synonyms': None, 'tissue_context': ''}	CL:4033027	diffuse bipolar 1 cell
DB2	CL:0000750	OFF-bipolar cell	DOI:10.1038/s41598-020-66092-9	8623d55f-d91c-41c2-ae68-ed2072fd268d_cxg_dataset_unique	{'name': 'DB2', 'full_name': 'bipolar type DB2', 'paper_synonyms': None, 'tissue_context': ''}	CL:4033028	diffuse bipolar 2 cell
DB3a	CL:0000750	OFF-bipolar cell	DOI:10.1038/s41598-020-66092-9	8623d55f-d91c-41c2-ae68-ed2072fd268d_cxg_dataset_unique	{'name': 'DB3a', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4033029	diffuse bipolar 3a cell
DB3b	CL:0000750	OFF-bipolar cell	DOI:10.1038/s41598-020-66092-9	8623d55f-d91c-41c2-ae68-ed2072fd268d_cxg_dataset_unique	{'name': 'DB3b', 'full_name': 'bipolar type DB3b', 'paper_synonyms': None, 'tissue_context': ''}	CL:4033030	diffuse bipolar 3b cell
DB4	CL:0000749	ON-bipolar cell	DOI:10.1038/s41598-020-66092-9	8623d55f-d91c-41c2-ae68-ed2072fd268d_cxg_dataset_unique	{'name': 'DB4', 'full_name': 'bipolar type DB4', 'paper_synonyms': None, 'tissue_context': ''}	CL:4033031	diffuse bipolar 4 cell
DB5*	CL:0000749	ON-bipolar cell	DOI:10.1038/s41598-020-66092-9	8623d55f-d91c-41c2-ae68-ed2072fd268d_cxg_dataset_unique	{'name': 'DB5*', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4033085	diffuse bipolar 5 cell
DB6	CL:0000749	ON-bipolar cell	DOI:10.1038/s41598-020-66092-9	8623d55f-d91c-41c2-ae68-ed2072fd268d_cxg_dataset_unique	{'name': 'DB6', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4033032	diffuse bipolar 6 cell
FMB	CL:0000750	OFF-bipolar cell	DOI:10.1038/s41598-020-66092-9	8623d55f-d91c-41c2-ae68-ed2072fd268d_cxg_dataset_unique	{'name': 'FMB', 'full_name': 'bipolar type FMB', 'paper_synonyms': None, 'tissue_context': ''}	CL:4033033	flat midget bipolar cell
IMB	CL:0000749	ON-bipolar cell	DOI:10.1038/s41598-020-66092-9	8623d55f-d91c-41c2-ae68-ed2072fd268d_cxg_dataset_unique	{'name': 'IMB', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4033034	invaginating midget bipolar cell
OFFx	CL:0000750	OFF-bipolar cell	DOI:10.1038/s41598-020-66092-9	8623d55f-d91c-41c2-ae68-ed2072fd268d_cxg_dataset_unique	{'name': 'OFFx', 'full_name': 'OFFx type', 'paper_synonyms': None, 'tissue_context': ''}	CL:4033036	OFFx cell
RB1	CL:0000749	ON-bipolar cell	DOI:10.1038/s41598-020-66092-9	8623d55f-d91c-41c2-ae68-ed2072fd268d_cxg_dataset_unique	{'name': 'RB1', 'full_name': None, 'paper_synonyms': 'rod bipolar cells; rod BCs', 'tissue_context': ''}	CL:0000751	rod bipolar cell
