annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label
Diff. Keratinocytes	CL:0000312	keratinocyte	DOI:10.1038/s42003-020-0922-4	124744b8-4681-474a-9894-683896122708_cxg_dataset_unique	{'name': 'Diff. Keratinocytes', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000312	keratinocyte
EpSC and undiff. progenitors	CL:1000428	stem cell of epidermis	DOI:10.1038/s42003-020-0922-4	124744b8-4681-474a-9894-683896122708_cxg_dataset_unique	{'name': 'EpSC and undiff. progenitors', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0011026	progenitor cell
Erythrocytes	CL:0000232	erythrocyte	DOI:10.1038/s42003-020-0922-4	124744b8-4681-474a-9894-683896122708_cxg_dataset_unique	{'name': 'Erythrocytes', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000232	erythrocyte
Lymphatic EC	CL:0002138	endothelial cell of lymphatic vessel	DOI:10.1038/s42003-020-0922-4	124744b8-4681-474a-9894-683896122708_cxg_dataset_unique	{'name': 'Lymphatic EC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0002138	endothelial cell of lymphatic vessel
Macrophages+DC	CL:0000235	macrophage	DOI:10.1038/s42003-020-0922-4	124744b8-4681-474a-9894-683896122708_cxg_dataset_unique	{'name': 'Macrophages+DC', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000113	mononuclear phagocyte
Melanocytes	CL:0000148	melanocyte	DOI:10.1038/s42003-020-0922-4	124744b8-4681-474a-9894-683896122708_cxg_dataset_unique	{'name': 'Melanocytes', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000148	melanocyte
Mesenchymal fibroblasts	CL:0002620	skin fibroblast	DOI:10.1038/s42003-020-0922-4	124744b8-4681-474a-9894-683896122708_cxg_dataset_unique	{'name': 'Mesenchymal fibroblasts', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000057	fibroblast
Pericytes	CL:0000669	pericyte	DOI:10.1038/s42003-020-0922-4	124744b8-4681-474a-9894-683896122708_cxg_dataset_unique	{'name': 'Pericytes', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000669	pericyte
Pro-inflammatory fibroblasts	CL:0002620	skin fibroblast	DOI:10.1038/s42003-020-0922-4	124744b8-4681-474a-9894-683896122708_cxg_dataset_unique	{'name': 'Pro-inflammatory fibroblasts', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000057	fibroblast
Secretory-papillary fibroblasts	CL:0002620	skin fibroblast	DOI:10.1038/s42003-020-0922-4	124744b8-4681-474a-9894-683896122708_cxg_dataset_unique	{'name': 'Secretory-papillary fibroblasts', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000302	fibroblast of papillary layer of dermis
Secretory-reticular fibroblasts	CL:0002620	skin fibroblast	DOI:10.1038/s42003-020-0922-4	124744b8-4681-474a-9894-683896122708_cxg_dataset_unique	{'name': 'Secretory-reticular fibroblasts', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:2000096	fibroblast of the reticular layer of dermis
T cells	CL:0000084	T cell	DOI:10.1038/s42003-020-0922-4	124744b8-4681-474a-9894-683896122708_cxg_dataset_unique	{'name': 'T cells', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000084	T cell
Vascular EC	CL:0002139	endothelial cell of vascular tree	DOI:10.1038/s42003-020-0922-4	124744b8-4681-474a-9894-683896122708_cxg_dataset_unique	{'name': 'Vascular EC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000071	blood vessel endothelial cell
