input_name	text	cl_id	cl_label
Astrocytes	astrocyte	CL:0000127	astrocyte
B cells	B cell	CL:0000236	B cell
CD4 + T helper cells	CD4 + T helper cell	CL:0000492	CD4-positive helper T cell
CD4+ T cells	CD4+ T cell	CL:0000624	CD4-positive, alpha-beta T cell
CD8 + cytotoxic T cells	CD8+ cytotoxic T cell	CL:0000794	CD8-positive, alpha-beta cytotoxic T cell
ESCs	ESC	CL:0002322	embryonic stem cell
GABA+-neurons	GABA+ neuron	CL:0000617	GABAergic neuron
ILC2	ILC2	CL:0001069	group 2 innate lymphoid cell
IgA + plasma cells	IgA + plasma cell	CL:0000987	IgA plasma cell
Intestinal tuft cells	intestinal tuft cell	CL:0019032	intestinal tuft cell
LSEC	LSEC	CL:1000398	endothelial cell of hepatic sinusoid
LSECs	LSEC	CL:1000398	endothelial cell of hepatic sinusoid
Liver sinusoidal endothelial cells	liver sinusoidal endothelial cell	CL:1000398	endothelial cell of hepatic sinusoid
Lymphocytes	lymphocyte	CL:0000542	lymphocyte
MSCs	MSC	CL:0000134	mesenchymal stem cell
NSCs	NSC	CL:0000047	neural stem cell
OB interneurons	OB interneuron	CL:1001434	olfactory bulb interneuron
OECs	OEC	CL:0011028	olfactory ensheathing cell
OPCs	OPC	CL:0002453	oligodendrocyte precursor cell
PBs	PB	CL:0000980	plasmablast
SCs	SC	CL:0000034	stem cell
Schwann cells	Schwann cell	CL:0002573	Schwann cell
T cells	T cell	CL:0000084	T cell
Th17 cells	Th17 cell	CL:0000899	T-helper 17 cell
Tuft cell	Tuft cell	CL:0002204	tuft cell
Tuft-2 cells	Tuft-2 cell	CL:0002204	tuft cell
XX germ cell	XX germ cell	CL:0000021	female germ cell
XX germ cells	XX germ cell	CL:0000021	female germ cell
angioblasts	angioblast	CL:0000566	angioblastic mesenchymal cell
arterial cells	arterial cell	CL:1000413	endothelial cell of artery
astrocyte	astrocyte	CL:0000127	astrocyte
chemosensory cell	chemosensory cell	CL:0000206	chemoreceptor cell
corticotrophs	corticotroph	CL:0002309	corticotroph
dendritic cells	dendritic cell	CL:0000451	dendritic cell
embryonic stem cells	embryonic stem cell	CL:0002322	embryonic stem cell
endothelial	endothelial	CL:0000115	endothelial cell
epithelial cell	epithelial cell	CL:0000066	epithelial cell
epithelial cells	epithelial cell	CL:0000066	epithelial cell
female germ cell	female germ cell	CL:0000021	female germ cell
first polar bodies	first polar body	CL:0002091	primary polar body
gametes	gamete	CL:0000300	gamete
germ cells	germ cell	CL:0000586	germ cell
germ cells	germ cell	CL:0000586	germ cell
goblet cells	goblet cell	CL:0000160	goblet cell
granulosa and germ cells	granulosa and germ cell	NO MATCH found	
granulosa cells	granulosa cell	CL:0000501	granulosa cell
gut epithelial cells	gut epithelial cell	CL:0002563	intestinal epithelial cell
hPSC	hPSC	CL:0002248	pluripotent stem cell
hPSCs	hPSC	CL:0002248	pluripotent stem cell
immature metaphase I (MI) oocytes	immature metaphase I (MI) oocyte	CL:0000023	oocyte
interneuron	interneuron	CL:0000099	interneuron
intestinal stem or transient amplifying cells	intestinal stem or transient amplifying cell	NO MATCH found	
leucocyte	leucocyte	CL:0000738	leukocyte
macrophages	macrophage	CL:0000235	macrophage
mature oocytes	mature oocyte	CL:0000025	egg cell
mesenchymal stem cells	mesenchymal stem cell	CL:0000134	mesenchymal stem cell
neural stem cells	neural stem cell	CL:0000047	neural stem cell
neuronal	neuronal	CL:0000540	neuron
neurons	neuron	CL:0000540	neuron
olfactory bulb (OB) GABAergic interneurons	olfactory bulb GABAergic interneuron	CL:1001434	olfactory bulb interneuron
olfactory ensheathing cells	olfactory ensheathing cell	CL:0011028	olfactory ensheathing cell
oligodendrocyte precursor cells	oligodendrocyte precursor cell	CL:0002453	oligodendrocyte precursor cell
oocyte	oocyte	CL:0000023	oocyte
oocytes	oocyte	CL:0000023	oocyte
oogonia	oogonium	CL:0000024	oogonial cell
oxyphil cells	oxyphil cell	CL:0002198	oncocyte
parathyroid chief cells	parathyroid chief cell	CL:0000446	chief cell of parathyroid gland
placental syncytiotrophoblast	placental syncytiotrophoblast	CL:0000525	syncytiotrophoblast cell
pluripotent stem cells	pluripotent stem cell	CL:0002248	pluripotent stem cell
pluripotent stem cells	pluripotent stem cell	CL:0002248	pluripotent stem cell
primordial germ cells	primordial germ cell	CL:0000670	primordial germ cell
second PBs	second PB	CL:0002093	secondary polar body
somatotrophs	somatotroph	CL:0002312	somatotroph
sperm cell	sperm cell	CL:0000019	sperm
stem cell	stem cell	CL:0000034	stem cell
stem cells	stem cell	CL:0000034	stem cell
striatal neurons	striatal neuron	CL:0002613	striatum neuron
tuft and goblet cell	tuft and goblet cell	NO MATCH found	
tuft cell-ILC2	tuft cell-ILC2	NO MATCH found	
tuft cells	tuft cell	CL:0002204	tuft cell
type 2 innate lymphoid cells	type 2 innate lymphoid cell	CL:0001069	group 2 innate lymphoid cell
venous endothelial cells	venous endothelial cell	CL:0002543	vein endothelial cell
B cell	B cell	CL:0000236	B cell
B cell	B cell	CL:0000236	B cell
Dendritic cell	Dendritic cell	CL:0000451	dendritic cell
Dendritic cell	Dendritic cell	CL:0000451	dendritic cell
Erythrocyte	Erythrocyte	CL:0000232	erythrocyte
Erythrocyte	Erythrocyte	CL:0000232	erythrocyte
Macrophage	Macrophage	CL:0000235	macrophage
Macrophage	Macrophage	CL:0000235	macrophage
Megakaryocyte	Megakaryocyte	CL:0000556	megakaryocyte
Megakaryocyte	Megakaryocyte	CL:0000556	megakaryocyte
Mesenchymal cell	Mesenchymal cell	CL:0008019	mesenchymal cell
Mesenchymal cell	Mesenchymal cell	CL:0008019	mesenchymal cell
Myeloid progenitor	Myeloid progenitor	CL:0000839	myeloid lineage restricted progenitor cell
Myeloid progenitor	Myeloid progenitor	CL:0000839	myeloid lineage restricted progenitor cell
Natural killer cell	Natural killer cell	CL:0000623	natural killer cell
Natural killer cell	Natural killer cell	CL:0000623	natural killer cell
Neutrophil	Neutrophil	CL:0000775	neutrophil
Neutrophil	Neutrophil	CL:0000775	neutrophil
Pro-B cell	Pro-B cell	CL:0000826	pro-B cell
Pro-B cell	Pro-B cell	CL:0000826	pro-B cell
T cell	T cell	CL:0000084	T cell
T cell	T cell	CL:0000084	T cell
MSC	mesenchymal stem/stromal cell	CL:0000134	mesenchymal stem cell
MSC	MSC	CL:0000134	mesenchymal stem cell
MSCs	mesenchymal stem/stromal cell	CL:0000134	mesenchymal stem cell
MSCs	MSC	CL:0000134	mesenchymal stem cell
cBMSCs	clonal bone marrow stem (stromal) cell	CL:0002540	mesenchymal stem cell of the bone marrow
cBMSCs	cBMSC	CL:0002540	mesenchymal stem cell of the bone marrow
oocytes	oocyte	CL:0000023	oocyte
oocytes	oocyte	CL:0000023	oocyte
ovarian granulosa cells	ovarian granulosa cell	CL:0000501	granulosa cell
ovarian granulosa cells	ovarian granulosa cell	CL:0000501	granulosa cell
CD4+ Naive	CD4+ naive T cell	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell
CD4+ Naive	CD4+ naive	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell
CD4+ T cell	CD4+ T cell	CL:0000624	CD4-positive, alpha-beta T cell
CD4+ T cell	CD4+ T cell	CL:0000624	CD4-positive, alpha-beta T cell
CD4+ T cells	CD4+ T cell	CL:0000624	CD4-positive, alpha-beta T cell
CD4+ T cells	CD4+ T cell	CL:0000624	CD4-positive, alpha-beta T cell
CD4+ T lymphocytes	CD4+ T lymphocyte	CL:0000624	CD4-positive, alpha-beta T cell
CD4+ T lymphocytes	CD4+ T lymphocyte	CL:0000624	CD4-positive, alpha-beta T cell
CD4+ Tem	CD4+ effector memory T cell	CL:0000905	effector memory CD4-positive, alpha-beta T cell
CD4+ Tem	CD4+ Tem	CL:0000905	effector memory CD4-positive, alpha-beta T cell
CD4+ Th17	CD4+ Th17 T cell	CL:0000899	T-helper 17 cell
CD4+ Th17	CD4+ Th17	CL:0000899	T-helper 17 cell
CD4+ Treg	CD4+ regulatory T cell	CL:0000815	regulatory T cell
CD4+ Treg	CD4+ Treg	CL:0000815	regulatory T cell
CD8+ MAIT	CD8+ mucosa-associated invariant T cell	CL:0000940	mucosal invariant T cell
CD8+ MAIT	CD8+ MAIT	CL:0000940	mucosal invariant T cell
CD8+ Naive	CD8+ naive T cell	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell
CD8+ Naive	CD8+ Naive	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell
CD8+ T cell	CD8+ T cell	CL:0000625	CD8-positive, alpha-beta T cell
CD8+ T cell	CD8+ T cell	CL:0000625	CD8-positive, alpha-beta T cell
CD8+ T cells	CD8+ T cell	CL:0000625	CD8-positive, alpha-beta T cell
CD8+ T cells	CD8+ T cell	CL:0000625	CD8-positive, alpha-beta T cell
CD8+ T lymphocytes	CD8+ T lymphocyte	CL:0000625	CD8-positive, alpha-beta T cell
CD8+ T lymphocytes	CD8+ T lymphocyte	CL:0000625	CD8-positive, alpha-beta T cell
CD8+ Tem	CD8+ effector memory T cell	CL:0000913	effector memory CD8-positive, alpha-beta T cell
CD8+ Tem	CD8+ Tem	CL:0000913	effector memory CD8-positive, alpha-beta T cell
CD8+ Temra	CD8+ recently activated effector memory T cell	CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated
CD8+ Temra	CD8+ Temra	CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated
CD8+ intraepithelial lymphocytes	CD8+ intraepithelial lymphocyte	CL:0002496	intraepithelial lymphocyte
CD8+ intraepithelial lymphocytes	CD8+ intraepithelial lymphocyte	CL:0002496	intraepithelial lymphocyte
IEL	intraepithelial lymphocyte	CL:0002496	intraepithelial lymphocyte
IEL	IEL	CL:0002496	intraepithelial lymphocyte
T cells	T lymphocyte	CL:0000084	T cell
T cells	T cell	CL:0000084	T cell
T lymphocytes	T lymphocyte	CL:0000084	T cell
T lymphocytes	T lymphocyte	CL:0000084	T cell
erythrocytes	erythrocyte	CL:0000232	erythrocyte
erythrocytes	erythrocyte	CL:0000232	erythrocyte
CCR6+CD161+ Th17	CCR6 + CD161 + Th17 phenotype	CL:0000899	T-helper 17 cell
CCR6+CD161+ Th17	CCR6+CD161+ Th17	CL:0000899	T-helper 17 cell
CD4+ T cells	CD4+ T cell	CL:0000624	CD4-positive, alpha-beta T cell
T cells	T cell	CL:0000084	T cell
T-cell	T-cell	CL:0000084	T cell
