input_name	text	cl_id	cl_label
EC	endothelial cell	CL:0000115	endothelial cell
mesothelial cell	mesothelial cell	CL:0000077	mesothelial cell
SMC	smooth muscle cell	CL:0000192	smooth muscle cell
ECs	endothelial cells	CL:0000115	endothelial cell
mesothelial cells	mesothelial cells	CL:0000077	mesothelial cell
mesothelial cells	mesothelial cells	CL:0000077	mesothelial cell
SMCs	smooth muscle cells	CL:0000192	smooth muscle cell
SMCs	smooth muscle cells	CL:0000192	smooth muscle cell
retinal pigment epithelium	retinal pigment epithelium	CL:0002586	retinal pigment epithelial cell
RPE	retinal pigment epithelium	CL:0002586	retinal pigment epithelial cell
Muller cells	Muller cells	CL:0000636	Mueller cell
Muller cells	Müller cells	CL:0000636	Mueller cell
photoreceptor	photoreceptor	CL:0000210	photoreceptor cell
photoreceptor	photoreceptor cells	CL:0000210	photoreceptor cell
Muller glia	Muller glia	CL:0000636	Mueller cell
Muller glia	Müller glia	CL:0000636	Mueller cell
NK/T cells	NK/T cells	CL:0000814	mature NK T cell
NK/T cells	natural killer/T cells	CL:0000623	natural killer cell
endothelial cells	endothelial cells	CL:0000115	endothelial cell
endothelial cells	endothelial cell	CL:0000115	endothelial cell
plasma cells	plasma cells	CL:0000786	plasma cell
plasma cells	plasma cell	CL:0000786	plasma cell
osteoblastic cells	osteoblastic cells	NO MATCH found	
osteoblastic cells	osteoblastic cell	NO MATCH found	
osteoclasts	osteoclasts	CL:0000092	osteoclast
osteoclasts	osteoclast	CL:0000092	osteoclast
B cells	B cell	CL:0000236	B cell
monocytes	monocyte	CL:0000576	monocyte
mast cells	mast cell	CL:0000097	mast cell
myeloid cells	myeloid cell	CL:0000763	myeloid cell
MSG acinar, ductal, myoepithelial, and adipose cells	MSG acinar, ductal, myoepithelial, and adipose cells	CL:0002623	acinar cell of salivary gland
MSG acinar, ductal, myoepithelial, and adipose cells	minor salivary gland acinar, ductal, myoepithelial, and adipose cells	CL:0002623	acinar cell of salivary gland
Macrophages	Macrophages	CL:0000235	macrophage
embryonic haematopoietic progenitors	embryonic haematopoietic progenitors	CL:0000049	common myeloid progenitor
monocytes	monocytes	CL:0000576	monocyte
tissue macrophages	tissue macrophages	CL:0000864	tissue-resident macrophage
tissue macrophages	tissue macrophages	CL:0000864	tissue-resident macrophage
tissue macrophages	resident macrophages	CL:0000864	tissue-resident macrophage
T cells	T cells	CL:0000084	T cell
T cells	T cells	CL:0000084	T cell
epithelial cells	epithelial cells	CL:0000066	epithelial cell
epithelial cells	salivary gland epithelium	UBERON:0004809	salivary gland epithelium
epithelial cells	ductal epithelium	UBERON:0034969	epithelial layer of duct
MSCs	MSCs	CL:0000134	mesenchymal stem cell
MSCs	mesenchymal stem/stromal cells	CL:0000134	mesenchymal stem cell
MSC	MSC	CL:0000134	mesenchymal stem cell
MSC	mesenchymal stem/stromal cell	CL:0000134	mesenchymal stem cell
Inactive Treg cells	Inactive Treg cells	CL:0000815	regulatory T cell
Inactive Treg cells	Inactive regulatory T cells	CL:0000815	regulatory T cell
CD4+ T cells	CD4+ T cell	CL:0000492	CD4-positive helper T cell
CCR6+CD161+ Th17	CCR6+CD161+ Th17	CL:0000899	T-helper 17 cell
CCR6+CD161+ Th17	CCR6 + CD161 + Th17 phenotype	CL:0000899	T-helper 17 cell
activated regulatory T-cell	activated regulatory T-cell	CL:0000815	regulatory T cell
T-cell	T-cell	CL:0000084	T cell
cardiomyocytes	cardiomyocytes	CL:0000746	cardiac muscle cell
cardiomyocytes	cardiomyocytes	CL:2000046	ventricular cardiac muscle cell
pluripotent stem cells	pluripotent stem cells	CL:0002248	pluripotent stem cell
pluripotent stem cells	pluripotent stem cells	CL:0000134	mesenchymal stem cell
monocyte	monocyte	CL:0000576	monocyte
myeloid cell	myeloid cell	CL:0000763	myeloid cell
macrophage	macrophage	CL:0000235	macrophage
oocytes	oocyte	CL:0000023	oocyte
ovarian granulosa cells	ovarian granulosa cell	CL:4033066	pre-granulosa cell
ILCs	innate lymphoid cell	CL:0001065	innate lymphoid cell
oligodendrocytes	oligodendrocyte	CL:0000128	oligodendrocyte
oligodendrocytes	oligodendrocyte	CL:0000128	oligodendrocyte
AST	astrocyte	CL:0000127	astrocyte
AST	astrocyte	CL:0000127	astrocyte
Astrocytes	astrocyte	CL:0000127	astrocyte
Astrocytes	astrocyte	CL:0000127	astrocyte
BG	bergman glia	CL:0000644	Bergmann glial cell
BG	bergman glia	CL:0000644	Bergmann glial cell
Bergman Glia	Bergman Glia	CL:0000644	Bergmann glial cell
Caudal Ganglionic Eminence	Caudal Ganglionic Eminence	CL:4042039	caudal ganglionic eminence derived neuron
Caudal Ganglionic Eminescence	Caudal Ganglionic Eminescence	CL:4042039	caudal ganglionic eminence derived neuron
ENDO	Endothelial cells	CL:0000115	endothelial cell
Endothelial cells	endothelial cell	CL:0000115	endothelial cell
Endothelial cells	endothelial cell	CL:0000115	endothelial cell
GC	granule cell	CL:0000120	granule cell
Granule Cell	granule cell	CL:0000120	granule cell
GP	granule cell progenitor	CL:0002362	cerebellar granule cell precursor
Granule cell Progenitor	Granule cell Progenitor	CL:0002362	cerebellar granule cell precursor
Medial Ganglionic Eminence	Medial Ganglionic Eminence	UBERON:0004024	medial ganglionic eminence
Medial Ganglionic Eminescence	Medial Ganglionic Eminescence	CL:4023063	medial ganglionic eminence derived interneuron
Microglia	Microglia	CL:0000129	microglial cell
Microglia	Microglia	CL:0000129	microglial cell
Microglia	Microglia	CL:0000129	microglial cell
MG	MG	NO MATCH found	
Muller Glia	Muller Glia	CL:0000636	Mueller cell
