author_cell_type	CL_label	CL_ID	reference	dataset_version
epithelial cells	epithelial cell of proximal tubule	CL:0002306	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
stroma cells	kidney interstitial fibroblast	CL:1000692	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
epithelial cells	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
immune cells	lymphocyte	CL:0000542	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
epithelial cells	kidney collecting duct intercalated cell	CL:1001432	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
endothelial cells	endothelial cell	CL:0000115	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
immune cells	kidney interstitial alternatively activated macrophage	CL:1000695	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
epithelial cells	kidney loop of Henle thin descending limb epithelial cell	CL:1001111	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
immune cells	neutrophil	CL:0000775	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
epithelial cells	podocyte	CL:0000653	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
epithelial cells	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
immune cells	mononuclear phagocyte	CL:0000113	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
epithelial cells	kidney collecting duct principal cell	CL:1001431	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
immune cells	T cell	CL:0000084	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
immune cells	plasma cell	CL:0000786	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
epithelial cells	kidney connecting tubule epithelial cell	CL:1000768	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
epithelial cells	kidney distal convoluted tubule epithelial cell	CL:1000849	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
stroma cells	renal interstitial pericyte	CL:1001318	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
neural cells	neural cell	CL:0002319	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
immune cells	non-classical monocyte	CL:0000875	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
immune cells	conventional dendritic cell	CL:0000990	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
immune cells	mast cell	CL:0000097	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
immune cells	B cell	CL:0000236	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
epithelial cells	parietal epithelial cell	CL:1000452	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
immune cells	plasmacytoid dendritic cell, human	CL:0001058	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
epithelial cells	papillary tips cell	CL:1000597	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Degenerative Proximal Tubule Epithelial Cell	epithelial cell of proximal tubule	CL:0002306	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell	epithelial cell of proximal tubule	CL:0002306	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Medullary Fibroblast	kidney interstitial fibroblast	CL:1000692	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Macula Densa Cell	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Natural Killer Cell / Natural Killer T Cell	lymphocyte	CL:0000542	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Transitional Principal-Intercalated Cell	kidney collecting duct intercalated cell	CL:1001432	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Descending Vasa Recta Endothelial Cell	endothelial cell	CL:0000115	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Medullary Thick Ascending Limb Cell	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Cortical Collecting Duct Intercalated Cell Type A	kidney collecting duct intercalated cell	CL:1001432	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Degenerative Medullary Thick Ascending Limb Cell	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Ascending Vasa Recta Endothelial Cell	endothelial cell	CL:0000115	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
M2 Macrophage	kidney interstitial alternatively activated macrophage	CL:1000695	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Cycling Proximal Tubule Epithelial Cell	epithelial cell of proximal tubule	CL:0002306	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Outer Medullary Collecting Duct Intercalated Cell Type A	kidney collecting duct intercalated cell	CL:1001432	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
Afferent / Efferent Arteriole Endothelial Cell	endothelial cell	CL:0000115	https://doi.org/10.1038/s41586-023-05769-3	https://datasets.cellxgene.cziscience.com/3f2bf1e8-75a6-4fa2-9f79-dd6bb54529a0.h5ad
