author_cell_type	CL_label	CL_ID	reference	dataset_version
Thick ascending limb of Loop of Henle	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Peritubular capillary endothelium 2	capillary endothelial cell	CL:0002144	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Proximal tubule	epithelial cell of proximal tubule	CL:0002306	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
NK cell	natural killer cell	CL:0000623	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Proliferating Proximal Tubule	epithelial cell of proximal tubule	CL:0002306	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
CD4 T cell	CD4-positive, alpha-beta T cell	CL:0000624	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Podocyte	podocyte	CL:0000653	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Transitional urothelium	urothelial cell	CL:0000731	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
B cell	B cell	CL:0000236	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Ascending vasa recta endothelium	vasa recta ascending limb cell	CL:1001131	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Type A intercalated cell	renal alpha-intercalated cell	CL:0005011	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
Peritubular capillary endothelium 1	capillary endothelial cell	CL:0002144	https://doi.org/10.1126/science.aat5031	https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
