author_cell_type	CL_label	CL_ID	reference	dataset_version
CD4 T cell	CD4-positive, alpha-beta T cell	CL:0000624	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
TA	transit amplifying cell	CL:0009010	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
IgA plasma cell	IgA plasma cell	CL:0000987	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Goblet cell	intestine goblet cell	CL:0019031	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
IgG plasma cell	IgG plasma cell	CL:0000985	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Cycling B cell	B cell	CL:0000236	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
S4 fibroblasts	fibroblast	CL:0000057	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
crypt	intestinal crypt stem cell	CL:0002250	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
early enterocyte	enterocyte	CL:0000584	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Memory B cell	memory B cell	CL:0000787	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
FCER2 B cell	B cell	CL:0000236	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Tfh	T follicular helper cell	CL:0002038	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
cDC2	conventional dendritic cell	CL:0000990	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Arterial endothelial cell	endothelial cell of artery	CL:1000413	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
IL2RG+ enterocyte (M cell)	M cell of gut	CL:0000682	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
enterocyte	enterocyte	CL:0000584	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
enteroendocrine	enteroendocrine cell	CL:0000164	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Venous endothelial cell	vein endothelial cell	CL:0002543	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Activated T	activated CD4-positive, alpha-beta T cell, human	CL:0001043	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
Monocyte	monocyte	CL:0000576	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
S1 fibroblasts	fibroblast	CL:0000057	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
cDC1	conventional dendritic cell	CL:0000990	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
myofibroblast	myofibroblast cell	CL:0000186	https://doi.org/10.1016/j.devcel.2020.11.010	https://datasets.cellxgene.cziscience.com/5790e30c-cc55-449f-bf80-62f5c12efe40.h5ad
