annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
Activated CD4 T	CL:0000624	CD4-positive, alpha-beta T cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'Activated CD4 T', 'full_name': 'CD4+ T cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
B cell IgA Plasma	CL:0000987	IgA plasma cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'B cell IgA Plasma', 'full_name': 'IgA+ plasma cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000987	IgA plasma cell	TRUE
B cell IgG Plasma	CL:0000236	B cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'B cell IgG Plasma', 'full_name': 'IgG+ plasma cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000985	IgG plasma cell	FALSE
B cell cycling	CL:0000236	B cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'B cell cycling', 'full_name': 'MKI67+ cycling B cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:4033068	cycling B cell	FALSE
B cell memory	CL:0000787	memory B cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'B cell memory', 'full_name': 'memory B cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000787	memory B cell	TRUE
CD8 T	CL:0000625	CD8-positive, alpha-beta T cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'CD8 T', 'full_name': 'CD8+ T cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
Follicular B cell	CL:0000843	follicular B cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'Follicular B cell', 'full_name': 'follicular B cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000843	follicular B cell	TRUE
ILC	CL:0001065	innate lymphoid cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'ILC', 'full_name': 'innate lymphoid cells', 'paper_synonyms': 'ILCs', 'tissue_context': ''}	CL:0001065	innate lymphoid cell	TRUE
LYVE1 Macrophage	CL:0000235	macrophage	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'LYVE1 Macrophage', 'full_name': 'LYVE1+ macrophages', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000235	macrophage	TRUE
Lymphoid DC	CL:0000451	dendritic cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'Lymphoid DC', 'full_name': 'dendritic cells', 'paper_synonyms': 'DCs', 'tissue_context': ''}	CL:0000451	dendritic cell	TRUE
