annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label
CD14+ Monocyte	CL:0000860	classical monocyte	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD14+ Monocyte', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0001054	CD14-positive monocyte
CD16+ Monocyte	CL:0000875	non-classical monocyte	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD16+ Monocyte', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000875	non-classical monocyte
CD4+ T activated	CL:0001043	activated CD4-positive, alpha-beta T cell, human	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD4+ T activated', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000896	activated CD4-positive, alpha-beta T cell
CD8+ T activated	CL:0001049	activated CD8-positive, alpha-beta T cell, human	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD8+ T activated', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000906	activated CD8-positive, alpha-beta T cell
HSPC	CL:0000037	hematopoietic stem cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'HSPC', 'full_name': 'Hematopoietic stem and progenitor cells', 'paper_synonyms': None, 'tissue_context': 'peripheral blood mononuclear cells (PBMCs)'}	CL:0008001	hematopoietic precursor cell
Hematopoietic_Mega	CL:0000233	platelet	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'Hematopoietic_Mega', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000556	megakaryocyte
Hematopoietic_R	CL:0000232	erythrocyte	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'Hematopoietic_R', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000232	erythrocyte
Hematopoietic_SC	CL:0000037	hematopoietic stem cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'Hematopoietic_SC', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000037	hematopoietic stem cell
Lymphoid_P	CL:0000980	plasmablast	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'Lymphoid_P', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000051	common lymphoid progenitor
pDC	CL:0001058	plasmacytoid dendritic cell, human	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'pDC', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000784	plasmacytoid dendritic cell
