annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label
AEA-DVR	CL:1001285	vasa recta descending limb cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'AEA-DVR', 'full_name': 'afferent/efferent arterioles/descending vasa recta', 'paper_synonyms': 'AEA/DVR', 'tissue_context': ''}	CL:0000071	blood vessel endothelial cell
AVR	CL:1001131	vasa recta ascending limb cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'AVR', 'full_name': 'ascending vasa recta', 'paper_synonyms': None, 'tissue_context': ''}	CL:1001131	vasa recta ascending limb cell
Bcell	CL:0000236	B cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'Bcell', 'full_name': 'B cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000236	B cell
CNT	CL:1001225	kidney collecting duct cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'CNT', 'full_name': 'connecting tubule', 'paper_synonyms': 'connecting duct', 'tissue_context': ''}	CL:1000768	kidney connecting tubule epithelial cell
DCT	CL:1000849	kidney distal convoluted tubule epithelial cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'DCT', 'full_name': 'distal convoluted tubule', 'paper_synonyms': None, 'tissue_context': ''}	CL:1000849	kidney distal convoluted tubule epithelial cell
DL	CL:1001285	vasa recta descending limb cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'DL', 'full_name': 'descending limb', 'paper_synonyms': None, 'tissue_context': ''}	CL:1001021	kidney loop of Henle descending limb epithelial cell
GC	CL:1001005	glomerular capillary endothelial cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'GC', 'full_name': 'glomerular capillaries', 'paper_synonyms': None, 'tissue_context': ''}	CL:1001005	glomerular capillary endothelial cell
IC-A	CL:0005011	renal alpha-intercalated cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'IC-A', 'full_name': 'intercalated cell A', 'paper_synonyms': None, 'tissue_context': ''}	CL:0005011	renal alpha-intercalated cell
IC-B	CL:0002201	renal beta-intercalated cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'IC-B', 'full_name': 'intercalated cell B', 'paper_synonyms': None, 'tissue_context': ''}	CL:0002201	renal beta-intercalated cell
IC-PC	CL:0000075	columnar/cuboidal epithelial cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'IC-PC', 'full_name': 'intercalated cell–principal cell', 'paper_synonyms': 'transitional cell type between PC and IC cells', 'tissue_context': ''}	CL:0005010	renal intercalated cell
Macro	CL:0000235	macrophage	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'Macro', 'full_name': 'macrophages', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000235	macrophage
Mesangial	CL:0000650	mesangial cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'Mesangial', 'full_name': 'mesangial cells', 'paper_synonyms': 'Mesa', 'tissue_context': ''}	CL:0000650	mesangial cell
Mono	CL:0000576	monocyte	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'Mono', 'full_name': 'monocytes', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000576	monocyte
NKcell	CL:0000623	natural killer cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'NKcell', 'full_name': 'natural killer cells', 'paper_synonyms': 'NK', 'tissue_context': ''}	CL:0000623	natural killer cell
PC	CL:0005009	renal principal cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'PC', 'full_name': 'principal cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0005009	renal principal cell
PT-A	CL:0002306	epithelial cell of proximal tubule	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'PT-A', 'full_name': 'proximal tubule cell A', 'paper_synonyms': None, 'tissue_context': ''}	CL:0002306	epithelial cell of proximal tubule
PT-B	CL:0002306	epithelial cell of proximal tubule	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'PT-B', 'full_name': 'proximal tubule B', 'paper_synonyms': None, 'tissue_context': ''}	CL:0002306	epithelial cell of proximal tubule
PT-C	CL:0002306	epithelial cell of proximal tubule	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'PT-C', 'full_name': 'proximal tubule C', 'paper_synonyms': None, 'tissue_context': ''}	CL:0002306	epithelial cell of proximal tubule
Peri	CL:0000669	pericyte	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'Peri', 'full_name': 'pericytes', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000669	pericyte
Podo	CL:0000653	podocyte	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'Podo', 'full_name': 'podocytes', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000653	podocyte
TAL	CL:1001106	kidney loop of Henle thick ascending limb epithelial cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'TAL', 'full_name': 'thick ascending limb', 'paper_synonyms': None, 'tissue_context': ''}	CL:1001106	kidney loop of Henle thick ascending limb epithelial cell
Tcell	CL:0000084	T cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'Tcell', 'full_name': 'T cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000084	T cell
UC	unknown	unknown	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'UC', 'full_name': 'uncharacterized', 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found	
tAL	CL:1001106	kidney loop of Henle thick ascending limb epithelial cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'tAL', 'full_name': 'thin ascending limb cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:1001107	kidney loop of Henle thin ascending limb epithelial cell
vSMC	CL:0000359	vascular associated smooth muscle cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'vSMC', 'full_name': 'vascular smooth muscle cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000359	vascular associated smooth muscle cell
