annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
C_EEC	CL:0009042	enteroendocrine cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_EEC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	CL:0000164	enteroendocrine cell	FALSE
C_ISC	CL:0009043	intestinal crypt stem cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_ISC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	CL:0002250	intestinal crypt stem cell	FALSE
C_TA	CL:0009011	transit amplifying cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_TA', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0009010	transit amplifying cell	FALSE
C_goblet	CL:0009039	colon goblet cell	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_goblet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	CL:0000160	goblet cell	FALSE
C_lateACC	CL:0002071	enterocyte of epithelium of large intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_lateACC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	NO MATCH found		FALSE
C_lateCC	CL:0002071	enterocyte of epithelium of large intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_lateCC', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	NO MATCH found		FALSE
C_tuft	CL:0009041	tuft cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_tuft', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	CL:0002204	tuft cell	FALSE
FAE	CL:1000353	microfold cell of epithelium of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'FAE', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:4052011	follicle associated enterocyte	FALSE
SI_FAE	CL:1000353	microfold cell of epithelium of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_FAE', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:4052011	follicle associated enterocyte	FALSE
SI_earlyAE	CL:1000334	enterocyte of epithelium of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_earlyAE', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	CL:4047019	early enterocyte	FALSE
paneth	CL:1000343	paneth cell of epithelium of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'paneth', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000510	paneth cell	FALSE
