annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
WNT1	CL:0000312	keratinocyte	DOI:10.1016/j.celrep.2018.09.006	f512b8b6-369d-4a85-a695-116e0806857f_cxg_dataset_unique	{'name': 'WNT1', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
basal1	CL:0002187	basal cell of epidermis	DOI:10.1016/j.celrep.2018.09.006	f512b8b6-369d-4a85-a695-116e0806857f_cxg_dataset_unique	{'name': 'basal1', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000646	basal cell	FALSE
basal2	CL:0002187	basal cell of epidermis	DOI:10.1016/j.celrep.2018.09.006	f512b8b6-369d-4a85-a695-116e0806857f_cxg_dataset_unique	{'name': 'basal2', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000646	basal cell	FALSE
channel	CL:0000242	Merkel cell	DOI:10.1016/j.celrep.2018.09.006	f512b8b6-369d-4a85-a695-116e0806857f_cxg_dataset_unique	{'name': 'channel', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
folicular	CL:2000092	hair follicular keratinocyte	DOI:10.1016/j.celrep.2018.09.006	f512b8b6-369d-4a85-a695-116e0806857f_cxg_dataset_unique	{'name': 'folicular', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000500	follicular epithelial cell	FALSE
granular	CL:0002189	granular cell of epidermis	DOI:10.1016/j.celrep.2018.09.006	f512b8b6-369d-4a85-a695-116e0806857f_cxg_dataset_unique	{'name': 'granular', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000094	granulocyte	FALSE
immune	CL:0000988	hematopoietic cell	DOI:10.1016/j.celrep.2018.09.006	f512b8b6-369d-4a85-a695-116e0806857f_cxg_dataset_unique	{'name': 'immune', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000738	leukocyte	FALSE
melanocyte	CL:0000148	melanocyte	DOI:10.1016/j.celrep.2018.09.006	f512b8b6-369d-4a85-a695-116e0806857f_cxg_dataset_unique	{'name': 'melanocyte', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000148	melanocyte	TRUE
mitotic	CL:0000312	keratinocyte	DOI:10.1016/j.celrep.2018.09.006	f512b8b6-369d-4a85-a695-116e0806857f_cxg_dataset_unique	{'name': 'mitotic', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
spinous	CL:0000649	spinous cell of epidermis	DOI:10.1016/j.celrep.2018.09.006	f512b8b6-369d-4a85-a695-116e0806857f_cxg_dataset_unique	{'name': 'spinous', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4052060	spinous cell	FALSE
