annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label
Activated B cell	CL:0000236	B cell	DOI:10.1016/j.devcel.2020.11.010	8e47ed12-c658-4252-b126-381df8d52a3d_cxg_dataset_unique	{'name': 'Activated B cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000236	B cell
Activated T	CL:0001043	activated CD4-positive, alpha-beta T cell, human	DOI:10.1016/j.devcel.2020.11.010	8e47ed12-c658-4252-b126-381df8d52a3d_cxg_dataset_unique	{'name': 'Activated T', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000084	T cell
Arterial endothelial cell	CL:1000413	endothelial cell of artery	DOI:10.1016/j.devcel.2020.11.010	8e47ed12-c658-4252-b126-381df8d52a3d_cxg_dataset_unique	{'name': 'Arterial endothelial cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000413	endothelial cell of artery
B cell	CL:0000236	B cell	DOI:10.1016/j.devcel.2020.11.010	8e47ed12-c658-4252-b126-381df8d52a3d_cxg_dataset_unique	{'name': 'B cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000236	B cell
BEST4 enterocyte	CL:0000584	enterocyte	DOI:10.1016/j.devcel.2020.11.010	8e47ed12-c658-4252-b126-381df8d52a3d_cxg_dataset_unique	{'name': 'BEST4 enterocyte', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4030026	BEST4+ enterocyte
CD4 T cell	CL:0000624	CD4-positive, alpha-beta T cell	DOI:10.1016/j.devcel.2020.11.010	8e47ed12-c658-4252-b126-381df8d52a3d_cxg_dataset_unique	{'name': 'CD4 T cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell
CD8 T cell	CL:0000625	CD8-positive, alpha-beta T cell	DOI:10.1016/j.devcel.2020.11.010	8e47ed12-c658-4252-b126-381df8d52a3d_cxg_dataset_unique	{'name': 'CD8 T cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000625	CD8-positive, alpha-beta T cell
Cycling B cell	CL:0000236	B cell	DOI:10.1016/j.devcel.2020.11.010	8e47ed12-c658-4252-b126-381df8d52a3d_cxg_dataset_unique	{'name': 'Cycling B cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4033068	cycling B cell
Cycling myeloid cells	CL:0000763	myeloid cell	DOI:10.1016/j.devcel.2020.11.010	8e47ed12-c658-4252-b126-381df8d52a3d_cxg_dataset_unique	{'name': 'Cycling myeloid cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4033081	cycling myeloid cell
Cycling plasma cell	CL:0000786	plasma cell	DOI:10.1016/j.devcel.2020.11.010	8e47ed12-c658-4252-b126-381df8d52a3d_cxg_dataset_unique	{'name': 'Cycling plasma cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4047003	cycling plasma cell
FCER2 B cell	CL:0000236	B cell	DOI:10.1016/j.devcel.2020.11.010	8e47ed12-c658-4252-b126-381df8d52a3d_cxg_dataset_unique	{'name': 'FCER2 B cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000236	B cell
Glial cell	CL:0000125	glial cell	DOI:10.1016/j.devcel.2020.11.010	8e47ed12-c658-4252-b126-381df8d52a3d_cxg_dataset_unique	{'name': 'Glial cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000125	glial cell
