annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label
acinar	CL:0002064	pancreatic acinar cell	DOI:10.1038/s42255-022-00531-x	37b21763-7f0f-41ae-9001-60bad6e2841d_cxg_dataset_unique	{'name': 'acinar', 'full_name': 'acinar cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000622	acinar cell
acinar_minor_mhcclassII	CL:0002064	pancreatic acinar cell	DOI:10.1038/s42255-022-00531-x	37b21763-7f0f-41ae-9001-60bad6e2841d_cxg_dataset_unique	{'name': 'acinar_minor_mhcclassII', 'full_name': 'MHC Class II acinar cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000622	acinar cell
alpha	CL:0000171	pancreatic A cell	DOI:10.1038/s42255-022-00531-x	37b21763-7f0f-41ae-9001-60bad6e2841d_cxg_dataset_unique	{'name': 'alpha', 'full_name': 'alpha cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000171	pancreatic A cell
beta_major	CL:0000169	type B pancreatic cell	DOI:10.1038/s42255-022-00531-x	37b21763-7f0f-41ae-9001-60bad6e2841d_cxg_dataset_unique	{'name': 'beta_major', 'full_name': 'beta cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000169	type B pancreatic cell
beta_minor	CL:0000169	type B pancreatic cell	DOI:10.1038/s42255-022-00531-x	37b21763-7f0f-41ae-9001-60bad6e2841d_cxg_dataset_unique	{'name': 'beta_minor', 'full_name': 'beta cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000169	type B pancreatic cell
delta	CL:0000173	pancreatic D cell	DOI:10.1038/s42255-022-00531-x	37b21763-7f0f-41ae-9001-60bad6e2841d_cxg_dataset_unique	{'name': 'delta', 'full_name': 'delta cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000173	pancreatic D cell
duct_acinar_related	CL:0002079	pancreatic ductal cell	DOI:10.1038/s42255-022-00531-x	37b21763-7f0f-41ae-9001-60bad6e2841d_cxg_dataset_unique	{'name': 'duct_acinar_related', 'full_name': 'ductal-acinar related cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0002080	pancreatic centro-acinar cell
duct_major	CL:0002079	pancreatic ductal cell	DOI:10.1038/s42255-022-00531-x	37b21763-7f0f-41ae-9001-60bad6e2841d_cxg_dataset_unique	{'name': 'duct_major', 'full_name': 'ductal cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0002079	pancreatic ductal cell
endothelial	CL:0000115	endothelial cell	DOI:10.1038/s42255-022-00531-x	37b21763-7f0f-41ae-9001-60bad6e2841d_cxg_dataset_unique	{'name': 'endothelial', 'full_name': 'endothelial cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell
epsilon	CL:0005019	pancreatic epsilon cell	DOI:10.1038/s42255-022-00531-x	37b21763-7f0f-41ae-9001-60bad6e2841d_cxg_dataset_unique	{'name': 'epsilon', 'full_name': 'epsilon cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0005019	pancreatic epsilon cell
hybrid	unknown	unknown	DOI:10.1038/s42255-022-00531-x	37b21763-7f0f-41ae-9001-60bad6e2841d_cxg_dataset_unique	{'name': 'hybrid', 'full_name': 'Hybrid cells', 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found	
immune_stellates	unknown	unknown	DOI:10.1038/s42255-022-00531-x	37b21763-7f0f-41ae-9001-60bad6e2841d_cxg_dataset_unique	{'name': 'immune_stellates', 'full_name': 'immune and stellate cells', 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found	
pp	CL:0000696	PP cell	DOI:10.1038/s42255-022-00531-x	37b21763-7f0f-41ae-9001-60bad6e2841d_cxg_dataset_unique	{'name': 'pp', 'full_name': 'PP cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000696	PP cell
stellates	CL:0002410	pancreatic stellate cell	DOI:10.1038/s42255-022-00531-x	37b21763-7f0f-41ae-9001-60bad6e2841d_cxg_dataset_unique	{'name': 'stellates', 'full_name': 'stellate cell', 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found	
